Question,Link
Yet another SOD problem,https://www.codechef.com/problems/SOD3
Chef on Vacation,https://www.codechef.com/problems/CHEFVACATION
Which Mixture,https://www.codechef.com/problems/MIXTURE
Chef and Vacation Transportation,https://www.codechef.com/problems/CHEFTRANS
College Life 5,https://www.codechef.com/problems/COLGLF5
Server Trouble,https://www.codechef.com/problems/SVRT
Lucky Boundaries,https://www.codechef.com/problems/ICM0013
Strong Language,https://www.codechef.com/problems/SSCRIPT
Two Dishes,https://www.codechef.com/problems/TWODISH
Can_Reach,https://www.codechef.com/problems/CAN_REACH
Vaccine Dates,https://www.codechef.com/problems/VDATES
Maximum Length Even Subarray,https://www.codechef.com/problems/MXEVNSUB
Lucky Number,https://www.codechef.com/problems/LUCKYNUM
Fake GCD,https://www.codechef.com/problems/FAKEGCD
Airline Restrictions,https://www.codechef.com/problems/AIRLINE
Problem Category,https://www.codechef.com/problems/PROBCAT
Prefix Sums,https://www.codechef.com/problems/UNQEQ
Genes,https://www.codechef.com/problems/GENE01
Chef Loves 1010,https://www.codechef.com/problems/CHEF1010
Interesting XOR!,https://www.codechef.com/problems/IRSTXOR
Back to Campus,https://www.codechef.com/problems/MINDAYSRET
The Two Dishes,https://www.codechef.com/problems/MAX_DIFF
Alternating Work Days,https://www.codechef.com/problems/ALTER
2 - Sums divisible by 3,https://www.codechef.com/problems/DIV3
The Old Saint And Three Questions,https://www.codechef.com/problems/THREEQ
The One Where It All Began,https://www.codechef.com/problems/S01E01
Two Rooks,https://www.codechef.com/problems/TWOROOKS
A Subtask Problem,https://www.codechef.com/problems/SUBTASK
Disabled King,https://www.codechef.com/problems/DISABLEDKING
"Red Light, Green Light",https://www.codechef.com/problems/DOLL
Three Boxes,https://www.codechef.com/problems/THREEBOX
Devendra and Water Sports,https://www.codechef.com/problems/DEVSPORTS
Team Formation,https://www.codechef.com/problems/TEAMFOR
Game between friends,https://www.codechef.com/problems/FRGAME
Average Flex,https://www.codechef.com/problems/AVGFLEX
Car Range,https://www.codechef.com/problems/CARRANGE
Chef and Stock Prices,https://www.codechef.com/problems/CSTOCK
Friends Meetup,https://www.codechef.com/problems/FRIMEET
College Life 4,https://www.codechef.com/problems/COLGLF4
Javelin Qualification,https://www.codechef.com/problems/JAVELIN
Problem Difficulties,https://www.codechef.com/problems/PROBDIFF
Smart Phone,https://www.codechef.com/problems/SMAPHONE
Test Match Series,https://www.codechef.com/problems/TESTSERIES
Chef and Contest,https://www.codechef.com/problems/CHEFCONTEST
The Squid Game,https://www.codechef.com/problems/SQUIDRULE
Memcached Service,https://www.codechef.com/problems/CCBTS02
Point Of Impact,https://www.codechef.com/problems/BILLRD
Minimum Number of Pizzas,https://www.codechef.com/problems/MINPIZZAS
Chef and Laddus For Children,https://www.codechef.com/problems/CCBTS03
Covid and Theatre Tickets,https://www.codechef.com/problems/COVID_19
Chef and Pal,https://www.codechef.com/problems/ANTIPAL
Can You Eat It,https://www.codechef.com/problems/COMPCAND
The One with Russ,https://www.codechef.com/problems/S02E10
Say No To Drugs,https://www.codechef.com/problems/NODRUGS
Equal Coins,https://www.codechef.com/problems/EQUALCOIN
Which Fuel is Cheaper,https://www.codechef.com/problems/CHEAPFUEL
Longest AND Subarray,https://www.codechef.com/problems/ANDSUBAR
Sleepy Chef,https://www.codechef.com/problems/FILL01
Dance Moves,https://www.codechef.com/problems/DANCEMOVES
Chef and Meetings,https://www.codechef.com/problems/MEET
Utkarsh and Placement tests,https://www.codechef.com/problems/UTKPLC
Expected Weight,https://www.codechef.com/problems/EXPWEI
Rapid Re-Orderings,https://www.codechef.com/problems/RPDRDNG
1 - Cakezoned,https://www.codechef.com/problems/BENDSP2
Queens Placement,https://www.codechef.com/problems/QPLACE
College Admissions,https://www.codechef.com/problems/ADMIT
Balance Zeroes and Ones,https://www.codechef.com/problems/BAL01
Check Mate,https://www.codechef.com/problems/CHECKMATE
Maximum Topological Sort,https://www.codechef.com/problems/MAXTOPO
